"","mean_region_1","sd_region_1","mean_region_2","sd_region_2","Fold Change","log2(FC)","p.value","FDR","VIP","pcorr"
"1-Octadecanoyl-2-(15S-hydroperoxy-5Z,8Z,11Z,13E-... [M+H]+",93.275,11.534,363.903,160.997,0.256,-1.964,1.11e-13,4.36e-12,2.698,0.766
"PS 39:6 [M]+",92.205,6.167,365.145,178.298,0.253,-1.986,2.92e-12,8.2e-11,2.593,0.74
"MSI00003",108.044,7.12,376.945,181.201,0.287,-1.803,8.41e-12,2.14e-10,2.556,0.738
"spinosyn B [M+K]+",79.599,5.324,413.397,170.434,0.193,-2.377,2.5e-16,3.06e-14,2.857,0.815
"PA(42:7) [M]+",92.259,6.171,449.975,207.337,0.205,-2.286,3.85e-14,1.89e-12,2.728,0.779
"(2-{[(2S,3R,4E,14Z)-2-[(8Z,11Z,14Z)-5,6-dihydrox... [M]+",79.515,5.319,363.545,158.375,0.219,-2.193,8.72e-15,5.13e-13,2.769,0.79
"Spinosyn P [M+K]+",143.804,28.182,422.764,251.958,0.34,-1.556,4.63e-08,7.43e-07,2.174,0.617
"Lecithin [M+NH4]+",76.222,5.098,388.54,169.865,0.196,-2.35,3.25e-15,2.2e-13,2.795,0.799
"MSI00009",93.836,6.277,364.409,182.942,0.258,-1.957,9.35e-12,2.33e-10,2.552,0.735
"MSI00010",90.831,9.87,277.964,211.689,0.327,-1.614,5.08e-06,5.8e-05,1.878,0.544
"PE(22:5(4Z,7Z,10Z,13Z,19Z)-O(16,17)/DiMe(9,5)) [M]+",216.451,34.931,644.1,329.577,0.336,-1.573,6.51e-10,1.29e-08,2.384,0.684
"1,2-dipalmitoyl-3'-<i>O</i>-(L-lysyl)-phosphatid... [M-H2O+NH4]+",119.086,10.755,410.185,194.98,0.29,-1.784,7.05e-12,1.86e-10,2.563,0.741
"chloride [M+K]+",122.624,12.996,470.889,222.06,0.26,-1.941,1.31e-12,3.99e-11,2.62,0.748
"MSI00014",93.275,11.534,363.903,160.997,0.256,-1.964,1.11e-13,4.36e-12,2.698,0.766
"&beta [M]+",4266.461,285.376,3309.961,2746.697,1.289,0.366,0.0546,0.198,0.847,-0.24
