ID,injectionOrder,batch,color,shape,sample_name,sample_info
region_1.1,1,1,31DE82,22,region_1.1,region_1
region_1.2,2,1,31DE82,22,region_1.2,region_1
region_1.3,3,1,31DE82,22,region_1.3,region_1
region_1.4,4,1,31DE82,22,region_1.4,region_1
region_1.5,5,1,31DE82,22,region_1.5,region_1
region_1.6,6,1,31DE82,22,region_1.6,region_1
region_1.7,7,1,31DE82,22,region_1.7,region_1
region_1.8,8,1,31DE82,22,region_1.8,region_1
region_1.9,9,1,31DE82,22,region_1.9,region_1
region_1.10,10,1,31DE82,22,region_1.10,region_1
region_1.11,11,1,31DE82,22,region_1.11,region_1
region_1.12,12,1,31DE82,22,region_1.12,region_1
region_1.13,13,1,31DE82,22,region_1.13,region_1
region_1.14,14,1,31DE82,22,region_1.14,region_1
region_1.15,15,1,31DE82,22,region_1.15,region_1
region_1.16,16,1,31DE82,22,region_1.16,region_1
region_1.17,17,1,31DE82,22,region_1.17,region_1
region_1.18,18,1,31DE82,22,region_1.18,region_1
region_1.19,19,1,31DE82,22,region_1.19,region_1
region_1.20,20,1,31DE82,22,region_1.20,region_1
region_1.21,21,1,31DE82,22,region_1.21,region_1
region_1.22,22,1,31DE82,22,region_1.22,region_1
region_1.23,23,1,31DE82,22,region_1.23,region_1
region_1.24,24,1,31DE82,22,region_1.24,region_1
region_1.25,25,1,31DE82,22,region_1.25,region_1
region_1.26,26,1,31DE82,22,region_1.26,region_1
region_1.27,27,1,31DE82,22,region_1.27,region_1
region_1.28,28,1,31DE82,22,region_1.28,region_1
region_1.29,29,1,31DE82,22,region_1.29,region_1
region_1.30,30,1,31DE82,22,region_1.30,region_1
region_1.31,31,1,31DE82,22,region_1.31,region_1
region_1.32,32,1,31DE82,22,region_1.32,region_1
region_6.1,33,1,978357,23,region_6.1,region_6
region_6.2,34,1,978357,23,region_6.2,region_6
region_6.3,35,1,978357,23,region_6.3,region_6
region_6.4,36,1,978357,23,region_6.4,region_6
region_6.5,37,1,978357,23,region_6.5,region_6
region_6.6,38,1,978357,23,region_6.6,region_6
region_6.7,39,1,978357,23,region_6.7,region_6
region_6.8,40,1,978357,23,region_6.8,region_6
region_6.9,41,1,978357,23,region_6.9,region_6
region_6.10,42,1,978357,23,region_6.10,region_6
region_6.11,43,1,978357,23,region_6.11,region_6
region_6.12,44,1,978357,23,region_6.12,region_6
region_6.13,45,1,978357,23,region_6.13,region_6
region_6.14,46,1,978357,23,region_6.14,region_6
region_6.15,47,1,978357,23,region_6.15,region_6
region_6.16,48,1,978357,23,region_6.16,region_6
region_6.17,49,1,978357,23,region_6.17,region_6
region_6.18,50,1,978357,23,region_6.18,region_6
region_6.19,51,1,978357,23,region_6.19,region_6
region_6.20,52,1,978357,23,region_6.20,region_6
region_6.21,53,1,978357,23,region_6.21,region_6
region_6.22,54,1,978357,23,region_6.22,region_6
region_6.23,55,1,978357,23,region_6.23,region_6
region_6.24,56,1,978357,23,region_6.24,region_6
region_6.25,57,1,978357,23,region_6.25,region_6
region_6.26,58,1,978357,23,region_6.26,region_6
region_6.27,59,1,978357,23,region_6.27,region_6
region_6.28,60,1,978357,23,region_6.28,region_6
region_6.29,61,1,978357,23,region_6.29,region_6
region_6.30,62,1,978357,23,region_6.30,region_6
region_6.31,63,1,978357,23,region_6.31,region_6
region_6.32,64,1,978357,23,region_6.32,region_6
region_6.33,65,1,978357,23,region_6.33,region_6
region_8.1,66,1,FF314C,24,region_8.1,region_8
region_8.2,67,1,FF314C,24,region_8.2,region_8
region_8.3,68,1,FF314C,24,region_8.3,region_8
region_8.4,69,1,FF314C,24,region_8.4,region_8
region_8.5,70,1,FF314C,24,region_8.5,region_8
region_8.6,71,1,FF314C,24,region_8.6,region_8
region_8.7,72,1,FF314C,24,region_8.7,region_8
region_8.8,73,1,FF314C,24,region_8.8,region_8
region_8.9,74,1,FF314C,24,region_8.9,region_8
region_8.10,75,1,FF314C,24,region_8.10,region_8
region_8.11,76,1,FF314C,24,region_8.11,region_8
region_8.12,77,1,FF314C,24,region_8.12,region_8
region_8.13,78,1,FF314C,24,region_8.13,region_8
region_8.14,79,1,FF314C,24,region_8.14,region_8
region_8.15,80,1,FF314C,24,region_8.15,region_8
region_8.16,81,1,FF314C,24,region_8.16,region_8
region_8.17,82,1,FF314C,24,region_8.17,region_8
region_8.18,83,1,FF314C,24,region_8.18,region_8
region_8.19,84,1,FF314C,24,region_8.19,region_8
region_8.20,85,1,FF314C,24,region_8.20,region_8
region_8.21,86,1,FF314C,24,region_8.21,region_8
region_8.22,87,1,FF314C,24,region_8.22,region_8
region_8.23,88,1,FF314C,24,region_8.23,region_8
region_8.24,89,1,FF314C,24,region_8.24,region_8
region_8.25,90,1,FF314C,24,region_8.25,region_8
region_8.26,91,1,FF314C,24,region_8.26,region_8
region_8.27,92,1,FF314C,24,region_8.27,region_8
region_8.28,93,1,FF314C,24,region_8.28,region_8
region_8.29,94,1,FF314C,24,region_8.29,region_8
region_8.30,95,1,FF314C,24,region_8.30,region_8
region_8.31,96,1,FF314C,24,region_8.31,region_8
region_8.32,97,1,FF314C,24,region_8.32,region_8
