"","p.value","-log10(p)","FDR","Tukey's HSD","vip"
"MZ_772.5250",4.4522e-109,108.35,3.4861e-105,"region_1-region_8; region_2-region_8; region_11-region_8; region_7-region_8; region_4-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_2-region_1; region_3-region_1; region_7-region_1; region_4-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_3-region_2; region_11-region_2; region_10-region_2; region_5-region_2; region_12-region_2; region_9-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_5-region_7; region_12-region_7; region_9-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_9-region_12; region_13-region_12; region_13-region_9",0.6717
"MZ_772.5247",4.822e-104,103.32,1.8878e-100,"region_1-region_8; region_2-region_8; region_11-region_8; region_7-region_8; region_4-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_9-region_8; region_13-region_8; region_2-region_1; region_3-region_1; region_7-region_1; region_4-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_3-region_2; region_11-region_2; region_10-region_2; region_5-region_2; region_12-region_2; region_9-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_13-region_3; region_4-region_11; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_5-region_7; region_12-region_7; region_9-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.8084
"MZ_772.5240",7.7228e-104,103.11,2.0157e-100,"region_1-region_8; region_2-region_8; region_11-region_8; region_7-region_8; region_4-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_9-region_8; region_13-region_8; region_2-region_1; region_3-region_1; region_4-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_3-region_2; region_10-region_2; region_5-region_2; region_12-region_2; region_9-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_5-region_7; region_12-region_7; region_9-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.8276
"MZ_772.5243",8.4361e-102,101.07,1.6514e-98,"region_1-region_8; region_2-region_8; region_11-region_8; region_7-region_8; region_4-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_3-region_1; region_7-region_1; region_4-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_3-region_2; region_10-region_2; region_5-region_2; region_12-region_2; region_9-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_13-region_3; region_4-region_11; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_5-region_7; region_12-region_7; region_9-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_9-region_12; region_13-region_12; region_13-region_9",0.812
"MZ_772.5251",1.3819e-98,97.86,2.164e-95,"region_1-region_8; region_3-region_8; region_11-region_8; region_7-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_9-region_8; region_13-region_8; region_2-region_1; region_3-region_1; region_7-region_1; region_4-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_3-region_2; region_11-region_2; region_10-region_2; region_5-region_2; region_12-region_2; region_9-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_13-region_3; region_4-region_11; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_5-region_7; region_12-region_7; region_9-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_9-region_12; region_13-region_12; region_13-region_9",0.8619
"MZ_772.5246",4.3975e-97,96.357,5.7388e-94,"region_1-region_8; region_2-region_8; region_11-region_8; region_7-region_8; region_4-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_2-region_1; region_3-region_1; region_7-region_1; region_4-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_3-region_2; region_10-region_2; region_5-region_2; region_12-region_2; region_9-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_13-region_3; region_4-region_11; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_5-region_7; region_12-region_7; region_9-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_9-region_12; region_13-region_12; region_13-region_9",0.9119
"MZ_741.5292",4.1103e-88,87.386,4.5977e-85,"region_1-region_8; region_2-region_8; region_3-region_8; region_11-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_2-region_1; region_3-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_3-region_2; region_11-region_2; region_7-region_2; region_4-region_2; region_10-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_5-region_7; region_12-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.159
"MZ_772.5256",4.117e-87,86.385,4.0295e-84,"region_1-region_8; region_11-region_8; region_7-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_2-region_1; region_3-region_1; region_7-region_1; region_4-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_3-region_2; region_11-region_2; region_10-region_2; region_5-region_2; region_12-region_2; region_9-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_5-region_7; region_12-region_7; region_9-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_9-region_12; region_13-region_12; region_13-region_9",0.5109
"MZ_772.5257",9.4128e-87,86.026,8.1891e-84,"region_1-region_8; region_2-region_8; region_11-region_8; region_7-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_2-region_1; region_3-region_1; region_7-region_1; region_4-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_3-region_2; region_11-region_2; region_10-region_2; region_5-region_2; region_12-region_2; region_9-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_5-region_7; region_12-region_7; region_9-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_9-region_12; region_13-region_12; region_13-region_9",0.5717
"MZ_773.5269",1.1401e-86,85.943,8.9272e-84,"region_1-region_8; region_11-region_8; region_7-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_9-region_8; region_13-region_8; region_3-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_10-region_2; region_5-region_2; region_12-region_2; region_9-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.069
