ID,injectionOrder,batch,color,shape,sample_name,sample_info
region_8.1,1,1,27DA92,22,region_8.1,region_8
region_8.2,2,1,27DA92,22,region_8.2,region_8
region_8.3,3,1,27DA92,22,region_8.3,region_8
region_8.4,4,1,27DA92,22,region_8.4,region_8
region_8.5,5,1,27DA92,22,region_8.5,region_8
region_8.6,6,1,27DA92,22,region_8.6,region_8
region_8.7,7,1,27DA92,22,region_8.7,region_8
region_8.8,8,1,27DA92,22,region_8.8,region_8
region_8.9,9,1,27DA92,22,region_8.9,region_8
region_8.10,10,1,27DA92,22,region_8.10,region_8
region_8.11,11,1,27DA92,22,region_8.11,region_8
region_8.12,12,1,27DA92,22,region_8.12,region_8
region_8.13,13,1,27DA92,22,region_8.13,region_8
region_8.14,14,1,27DA92,22,region_8.14,region_8
region_8.15,15,1,27DA92,22,region_8.15,region_8
region_8.16,16,1,27DA92,22,region_8.16,region_8
region_8.17,17,1,27DA92,22,region_8.17,region_8
region_8.18,18,1,27DA92,22,region_8.18,region_8
region_8.19,19,1,27DA92,22,region_8.19,region_8
region_8.20,20,1,27DA92,22,region_8.20,region_8
region_8.21,21,1,27DA92,22,region_8.21,region_8
region_8.22,22,1,27DA92,22,region_8.22,region_8
region_8.23,23,1,27DA92,22,region_8.23,region_8
region_8.24,24,1,27DA92,22,region_8.24,region_8
region_8.25,25,1,27DA92,22,region_8.25,region_8
region_8.26,26,1,27DA92,22,region_8.26,region_8
region_8.27,27,1,27DA92,22,region_8.27,region_8
region_8.28,28,1,27DA92,22,region_8.28,region_8
region_8.29,29,1,27DA92,22,region_8.29,region_8
region_8.30,30,1,27DA92,22,region_8.30,region_8
region_8.31,31,1,27DA92,22,region_8.31,region_8
region_8.32,32,1,27DA92,22,region_8.32,region_8
region_8.33,33,1,27DA92,22,region_8.33,region_8
region_1.1,34,1,6FB45B,23,region_1.1,region_1
region_1.2,35,1,6FB45B,23,region_1.2,region_1
region_1.3,36,1,6FB45B,23,region_1.3,region_1
region_1.4,37,1,6FB45B,23,region_1.4,region_1
region_1.5,38,1,6FB45B,23,region_1.5,region_1
region_1.6,39,1,6FB45B,23,region_1.6,region_1
region_1.7,40,1,6FB45B,23,region_1.7,region_1
region_1.8,41,1,6FB45B,23,region_1.8,region_1
region_1.9,42,1,6FB45B,23,region_1.9,region_1
region_1.10,43,1,6FB45B,23,region_1.10,region_1
region_1.11,44,1,6FB45B,23,region_1.11,region_1
region_1.12,45,1,6FB45B,23,region_1.12,region_1
region_1.13,46,1,6FB45B,23,region_1.13,region_1
region_1.14,47,1,6FB45B,23,region_1.14,region_1
region_1.15,48,1,6FB45B,23,region_1.15,region_1
region_1.16,49,1,6FB45B,23,region_1.16,region_1
region_1.17,50,1,6FB45B,23,region_1.17,region_1
region_1.18,51,1,6FB45B,23,region_1.18,region_1
region_1.19,52,1,6FB45B,23,region_1.19,region_1
region_1.20,53,1,6FB45B,23,region_1.20,region_1
region_1.21,54,1,6FB45B,23,region_1.21,region_1
region_1.22,55,1,6FB45B,23,region_1.22,region_1
region_1.23,56,1,6FB45B,23,region_1.23,region_1
region_1.24,57,1,6FB45B,23,region_1.24,region_1
region_1.25,58,1,6FB45B,23,region_1.25,region_1
region_1.26,59,1,6FB45B,23,region_1.26,region_1
region_1.27,60,1,6FB45B,23,region_1.27,region_1
region_1.28,61,1,6FB45B,23,region_1.28,region_1
region_1.29,62,1,6FB45B,23,region_1.29,region_1
region_1.30,63,1,6FB45B,23,region_1.30,region_1
region_1.31,64,1,6FB45B,23,region_1.31,region_1
region_1.32,65,1,6FB45B,23,region_1.32,region_1
region_1.33,66,1,6FB45B,23,region_1.33,region_1
region_2.1,67,1,D33F56,24,region_2.1,region_2
region_2.2,68,1,D33F56,24,region_2.2,region_2
region_2.3,69,1,D33F56,24,region_2.3,region_2
region_2.4,70,1,D33F56,24,region_2.4,region_2
region_2.5,71,1,D33F56,24,region_2.5,region_2
region_2.6,72,1,D33F56,24,region_2.6,region_2
region_2.7,73,1,D33F56,24,region_2.7,region_2
region_2.8,74,1,D33F56,24,region_2.8,region_2
region_2.9,75,1,D33F56,24,region_2.9,region_2
region_2.10,76,1,D33F56,24,region_2.10,region_2
region_2.11,77,1,D33F56,24,region_2.11,region_2
region_2.12,78,1,D33F56,24,region_2.12,region_2
region_2.13,79,1,D33F56,24,region_2.13,region_2
region_2.14,80,1,D33F56,24,region_2.14,region_2
region_2.15,81,1,D33F56,24,region_2.15,region_2
region_2.16,82,1,D33F56,24,region_2.16,region_2
region_2.17,83,1,D33F56,24,region_2.17,region_2
region_2.18,84,1,D33F56,24,region_2.18,region_2
region_2.19,85,1,D33F56,24,region_2.19,region_2
region_2.20,86,1,D33F56,24,region_2.20,region_2
region_2.21,87,1,D33F56,24,region_2.21,region_2
region_2.22,88,1,D33F56,24,region_2.22,region_2
region_2.23,89,1,D33F56,24,region_2.23,region_2
region_2.24,90,1,D33F56,24,region_2.24,region_2
region_2.25,91,1,D33F56,24,region_2.25,region_2
region_2.26,92,1,D33F56,24,region_2.26,region_2
region_2.27,93,1,D33F56,24,region_2.27,region_2
region_2.28,94,1,D33F56,24,region_2.28,region_2
region_2.29,95,1,D33F56,24,region_2.29,region_2
region_2.30,96,1,D33F56,24,region_2.30,region_2
region_2.31,97,1,D33F56,24,region_2.31,region_2
region_2.32,98,1,D33F56,24,region_2.32,region_2
region_3.1,99,1,FF513D,25,region_3.1,region_3
region_3.2,100,1,FF513D,25,region_3.2,region_3
region_3.3,101,1,FF513D,25,region_3.3,region_3
region_3.4,102,1,FF513D,25,region_3.4,region_3
region_3.5,103,1,FF513D,25,region_3.5,region_3
region_3.6,104,1,FF513D,25,region_3.6,region_3
region_3.7,105,1,FF513D,25,region_3.7,region_3
region_3.8,106,1,FF513D,25,region_3.8,region_3
region_3.9,107,1,FF513D,25,region_3.9,region_3
region_3.10,108,1,FF513D,25,region_3.10,region_3
region_3.11,109,1,FF513D,25,region_3.11,region_3
region_3.12,110,1,FF513D,25,region_3.12,region_3
region_3.13,111,1,FF513D,25,region_3.13,region_3
region_3.14,112,1,FF513D,25,region_3.14,region_3
region_3.15,113,1,FF513D,25,region_3.15,region_3
region_3.16,114,1,FF513D,25,region_3.16,region_3
region_3.17,115,1,FF513D,25,region_3.17,region_3
region_3.18,116,1,FF513D,25,region_3.18,region_3
region_3.19,117,1,FF513D,25,region_3.19,region_3
region_3.20,118,1,FF513D,25,region_3.20,region_3
region_3.21,119,1,FF513D,25,region_3.21,region_3
region_3.22,120,1,FF513D,25,region_3.22,region_3
region_3.23,121,1,FF513D,25,region_3.23,region_3
