proj,files,totalLines,commentLines,blankLines,lineOfCodes,class,property,method,functions,operator,size(bytes),size
E:\GCModeller\src\runtime\ggplot\src\ggplot\ggplot.NET5.vbproj,ggplot\ggplot2.vb,1575,798,101,676,1,0,0,45,0,70772,70.77 KB
E:\GCModeller\src\runtime\ggplot\src\ggplot\ggplot.NET5.vbproj,ggplot\ggplot3.vb,50,10,7,33,1,0,0,1,0,1595,1.59 KB
E:\GCModeller\src\runtime\ggplot\src\ggplot\ggplot.NET5.vbproj,ggplot\ggplotExtensions.vb,18,0,3,15,1,0,0,1,0,684,684 B
E:\GCModeller\src\runtime\ggplot\src\ggplot\ggplot.NET5.vbproj,ggplot\zzz.vb,50,2,9,39,1,0,1,1,0,1526,1.53 KB
E:\GCModeller\src\runtime\ggplot\src\ggplot\ggplot.NET5.vbproj,ggplot\Internal\ggplot.vb,397,77,49,271,1,11,8,5,1,14318,14.32 KB
E:\GCModeller\src\runtime\ggplot\src\ggplot\ggplot.NET5.vbproj,ggplot\Internal\ggplotAdapter.vb,7,0,3,4,1,1,0,0,0,125,125 B
E:\GCModeller\src\runtime\ggplot\src\ggplot\ggplot.NET5.vbproj,ggplot\Internal\ggplotBase.vb,36,3,8,25,1,2,0,2,0,1224,1.22 KB
E:\GCModeller\src\runtime\ggplot\src\ggplot\ggplot.NET5.vbproj,ggplot\Internal\ggplotData.vb,36,3,7,26,1,5,0,0,0,933,933 B
E:\GCModeller\src\runtime\ggplot\src\ggplot\ggplot.NET5.vbproj,ggplot\Internal\ggplotPipeline.vb,59,6,8,45,1,2,0,2,0,1848,1.85 KB
E:\GCModeller\src\runtime\ggplot\src\ggplot\ggplot.NET5.vbproj,ggplot\Internal\ggplotReader.vb,229,41,27,161,1,10,0,10,0,8266,8.27 KB
E:\GCModeller\src\runtime\ggplot\src\ggplot\ggplot.NET5.vbproj,ggplot\Internal\colors\ggplotColorCustomSet.vb,95,14,13,68,1,0,0,6,0,4034,4.03 KB
E:\GCModeller\src\runtime\ggplot\src\ggplot\ggplot.NET5.vbproj,ggplot\Internal\colors\ggplotColorFactorMap.vb,49,3,8,38,1,0,0,4,0,1999,2.00 KB
E:\GCModeller\src\runtime\ggplot\src\ggplot\ggplot.NET5.vbproj,ggplot\Internal\colors\ggplotColorLiteral.vb,43,3,6,34,1,0,0,4,0,1657,1.66 KB
E:\GCModeller\src\runtime\ggplot\src\ggplot\ggplot.NET5.vbproj,ggplot\Internal\colors\ggplotColorMap.vb,117,46,13,58,1,2,0,3,0,4965,4.96 KB
E:\GCModeller\src\runtime\ggplot\src\ggplot\ggplot.NET5.vbproj,ggplot\Internal\colors\ggplotColorPalette.vb,71,4,11,56,1,0,0,4,0,3001,3.00 KB
E:\GCModeller\src\runtime\ggplot\src\ggplot\ggplot.NET5.vbproj,ggplot\Internal\elements\ggplotElement.vb,17,7,4,6,1,1,0,0,0,445,445 B
E:\GCModeller\src\runtime\ggplot\src\ggplot\ggplot.NET5.vbproj,ggplot\Internal\elements\lineElement.vb,59,0,10,49,1,3,0,3,0,1834,1.83 KB
E:\GCModeller\src\runtime\ggplot\src\ggplot\ggplot.NET5.vbproj,ggplot\Internal\elements\rectElement.vb,14,3,4,7,1,2,0,0,0,324,324 B
